lat,lon,highway,elev_m
31.0204269,109.4807029,trunk,69.4
31.0833136,109.5723368,motorway,157.0
31.0666539,109.4880074,motorway,215.2
31.0898423,109.6257839,motorway,249.4
31.0711694,109.5174856,motorway,224.9
31.0899664,109.6256937,motorway,249.8
31.0707769,109.5174324,motorway,224.8
31.0823516,109.6060729,motorway,259.1
31.0855587,109.6135777,motorway,255.1
31.0822594,109.606149,motorway,255.0
31.0856567,109.6134857,motorway,261.3
31.0303849,109.4416181,motorway,246.0
31.0878524,109.62245,motorway,208.4
31.0712323,109.5124649,motorway,195.7
31.087779,109.6225169,motorway,207.3
31.0706913,109.5044648,motorway,102.1
31.0674841,109.4910677,motorway,224.1
31.0707914,109.5044439,motorway,100.9
31.0951929,109.6358885,motorway,245.9
31.0302454,109.4416237,motorway,243.0
31.0710814,109.5126275,motorway,191.8
31.0650927,109.485658,motorway,230.4
31.0829968,109.5728802,motorway,156.4
31.0320434,109.3677029,motorway,252.8
31.0319486,109.3676889,motorway,252.0
31.0305039,109.3731113,motorway,227.7
31.0299414,109.3784927,motorway,210.4
31.0304151,109.3730585,motorway,224.0
31.0300336,109.3784294,motorway,210.9
31.0612593,109.5184271,trunk,91.6
31.0310149,109.3722382,service,254.5
31.0294867,109.3783911,motorway_link,211.1
31.0317686,109.3675478,service,251.2
31.0462644,109.5690645,footway,147.5
31.0322575,109.3680364,service,255.1
31.0307668,109.3731945,motorway_link,230.3
31.0303445,109.3727428,service,218.5
31.0983966,109.6419453,motorway,282.5
31.1080307,109.6607549,motorway,263.4
31.0983162,109.6420393,motorway,279.6
31.1081544,109.6607077,motorway,264.3
31.1034916,109.6460309,motorway,299.5
31.0973557,109.6407747,motorway,267.4
31.0953088,109.6358266,motorway,248.5
31.1035709,109.6459088,motorway,300.6
31.1190916,109.6734049,motorway,362.9
31.0974632,109.6406975,motorway,269.0
31.1190059,109.6735164,motorway,383.0
31.1127403,109.6694443,motorway,357.7
31.112811,109.6693071,motorway,357.8
31.1216309,109.6799509,motorway,424.6
31.121749,109.6798869,motorway,411.2
