bridge_id,status,lat,lon,elev_m,region,bearing_deg,face_normal_deg,T_peak_max,T_surf_peak,T_top_peak,T_bot_peak,T_top_mean,T_bot_mean,max_vertical_gradient,mean_vertical_gradient,diurnal_range_top
M04,ok,31.06006,109.519036,163.0,R1,50.6,140.6,49.56377091793945,49.56377091793945,37.279208374241584,35.31885537686077,30.769636663442014,30.43423416530079,2.2191540347510994,0.33540249814122586,10.392563929566691
M03,ok,31.137429,109.893081,162.0,R1,105.8,195.8,48.386294897197395,48.386294897197395,36.26872992102804,31.49913503263797,27.43978737849015,26.569988640542466,5.4234638957492045,0.8697987379476808,13.149871844994376
M06,ok,31.026909,109.48342,158.0,R1,0.0,90.0,50.918941972504584,50.918941972504584,37.340439607219324,36.453460511407776,31.691627367427113,31.482350290422595,1.350717454386448,0.2092770770045096,9.349657427600725
U0008,ok,31.40178235,109.40135205,571.0,R1,101.7,191.7,52.13500836724484,52.13500836724484,41.75613796091168,36.36851477431422,32.52557297451904,31.55706368273508,6.422074607858818,0.9685092917839607,13.91447875890858
U0018,ok,31.131671966666666,109.91754434444444,256.0,R1,112.5,202.5,50.34675735695065,50.34675735695065,36.85164787225536,33.353275203124795,29.002308823154888,28.359834691479453,3.716545754454785,0.6424741316754347,11.99099902575502
U0020,ok,31.394350125000003,109.54473344166666,325.0,R1,98.1,188.1,53.916911610444146,53.916911610444146,43.16528024925652,37.362468959361884,33.593323996739336,32.62048869255391,6.355686776293467,0.9728353041854173,14.277281767160261
U0024,ok,31.1511792,110.32003465,294.0,R1,94.3,184.3,51.10816503843813,51.10816503843813,41.35017547056083,36.10882848708508,32.13743622423821,31.245073191683407,6.394709107546433,0.8923630325548069,13.564581718129492
U0029,ok,31.11416902582417,109.8953162098901,294.0,R1,89.6,179.6,48.794371741838965,48.794371741838965,38.285316185545334,33.51863891028238,29.558163616305333,28.750772285283265,5.548717917017036,0.8073913310220682,12.567433034484967
U0038,ok,31.19826863125,110.1425132534375,621.0,R1,22.1,112.1,47.00924537612381,47.00924537612381,34.453879883157526,33.15044588765742,27.63225930544527,27.413936730301764,1.8036024589929873,0.21832257514350317,10.667688851240058
U0032,ok,31.07074135,109.50445435,163.0,R1,83.0,173.0,50.93768184653911,50.93768184653911,38.82101836993048,34.668538588031176,30.920829031099018,30.256050070489394,4.635720814852377,0.6647789606096248,11.957480618147319
U0033,ok,31.135526825,109.902652175,199.0,R1,106.2,196.2,49.50652677656038,49.50652677656038,37.46526599400757,32.97350684812509,28.877565674871995,28.04461405356149,5.163382829527826,0.8329516213105144,12.872386007090725
U0035,ok,31.39322039142857,109.57941876714288,277.0,R1,66.4,156.4,55.69032823864893,55.69032823864893,41.43794118589294,38.41654371344832,33.47332655974626,32.97955159443589,3.447857235520196,0.4937749653103653,12.305435871412545
U0036,ok,31.394640135000003,109.540261175,346.0,R1,97.9,187.9,53.91114862553492,53.91114862553492,43.11569824848138,37.31568220363375,33.54806102336667,32.578788022848954,6.353812965296406,0.9692730005177181,14.270888848058213
U0037,ok,31.40481235714286,109.36437100714286,703.0,R1,94.6,184.6,51.4595980001269,51.4595980001269,40.70990180940506,35.233365084046234,31.55912140238553,30.670979992971883,6.138436348373752,0.8881414094136458,13.519806882323728
U0039,ok,31.39514089,109.474931085,404.0,R1,86.9,176.9,54.4136540817651,54.4136540817651,41.963363780959774,37.37053812122499,33.220054766315876,32.452135121721646,5.2291929343516586,0.7679196445942378,13.280235180775765
U0041,ok,31.12721595,109.89798291,195.0,R1,66.8,156.8,49.828761994757336,49.828761994757336,36.57929071497115,33.47009564764865,28.6209553327143,28.117578838436163,3.586246219174143,0.5033764942781276,12.009240954370576
U0044,ok,31.406698097222225,109.09968968611112,795.0,R1,102.0,192.0,49.50017902770324,49.50017902770324,39.72385394706531,34.70095594841245,31.001002064437056,30.046526180528417,6.407449065641693,0.9544758839086396,12.996286497075907
