date,lst_day_c,lst_night_c,lst_mean_c,n_obs
2025-04-01,9.93,,9.93,1
2025-04-02,,11.53,11.53,1
2025-04-03,9.94,,9.94,2
2025-04-05,8.27,,8.27,2
2025-04-06,17.08,,17.08,2
2025-04-07,22.21,16.02,19.12,4
2025-04-08,24.65,16.83,20.74,4
2025-04-09,12.27,17.69,14.98,2
2025-04-10,22.24,18.03,20.84,3
2025-04-12,,11.19,11.19,1
2025-04-13,18.79,13.23,16.94,3
2025-04-14,17.39,16.06,16.73,4
2025-04-15,13.27,,13.27,1
2025-04-16,19.27,,19.27,2
2025-04-17,25.19,18.87,20.98,3
2025-04-18,21.32,,21.32,2
2025-04-19,,18.62,18.62,2
2025-04-20,20.17,,20.17,1
2025-04-21,26.71,,26.71,1
2025-04-23,22.39,,22.39,1
2025-04-24,,10.81,10.81,1
2025-04-25,22.09,,22.09,2
2025-04-27,23.10,,23.10,2
2025-04-28,22.29,19.33,21.30,3
2025-04-30,9.93,16.86,14.55,3
2025-05-01,23.80,20.59,22.73,3
2025-05-02,17.49,,17.49,1
2025-05-03,21.25,,21.25,1
2025-05-04,,17.45,17.45,1
2025-05-05,24.06,15.79,21.30,3
2025-05-07,23.11,,23.11,1
2025-05-09,26.55,,26.55,1
2025-05-10,,13.00,13.00,2
2025-05-11,23.80,18.34,21.07,4
2025-05-12,26.23,16.79,21.51,2
2025-05-15,,18.87,18.87,1
2025-05-16,26.27,,26.27,2
2025-05-18,31.43,19.05,25.24,2
2025-05-19,27.96,22.21,25.09,4
2025-05-20,30.26,23.26,26.76,4
2025-05-21,29.54,,29.54,2
2025-05-23,21.33,,21.33,1
2025-05-24,16.99,,16.99,1
2025-05-25,24.39,19.47,21.11,3
2025-05-26,26.15,17.29,23.20,3
2025-05-28,26.28,20.22,23.25,4
2025-05-29,28.56,16.26,22.41,4
2025-05-30,24.95,,24.95,1
2025-06-05,29.81,,29.81,1
2025-06-10,,19.81,19.81,2
2025-06-11,30.72,21.11,27.52,3
2025-06-12,31.03,23.28,27.16,4
2025-06-13,31.37,23.56,27.47,4
2025-06-14,29.07,15.03,22.05,2
2025-06-15,30.61,21.90,26.26,4
2025-06-16,33.19,22.69,27.94,4
